1,,Aa,,,,,,,,,,,,,,,,,,,,,
3,,Aya,,,,,,,,,,,,,,,,,,,,,
4,,Ayale,,,,,,,,,,,,,,,,,,,,,
5,,A(y)ami,,,,,,,,,,,,,,,,,,,,,
6,f,Ayatarza,,,,,"KBo 47.203 4], 5",,,,,,,,,,,,,,,,
7,,Aimi,,,,,,,,,,,,,,,,,,,,,
8,,Aišši,,,,,,,Man from Duggama (land of Azzi),,,,,,,,,,,,,,
9,,Aitaggama,,,,,,,"Prince of Kadesh, son of Šutatarra",,,,,,,,,,,,,,
10,,Agga,,,,,,,Capp.,,,,,,,Ambassador of Arzawa in Egypt,Man of Tahisna,,,,,,
11,,Agaliuman,,,,,,,,,,,,,,,,,,,,,
12,,Agallu,,,,,,,,,,,,,,,,,,,,,
13,,Agaburušiya,,,,,,,,,,,,,,,,,,,,,
14,,Akarki,,,,,,,Man of Palisna,,,,,,,,,,,,,,
15,,Akiya,,,,,KBo 28.111 Ro 11',,King of Arahti,,,,,,,Man of Ismiriga,Doctor,Delete (Beckman),Other,,,,
16,,Aki-Tešub,,,,,,,King of Ni'i or Neya,,,,,,,Mittanian leader,Prince of Tunip ?,Hittite ?,Scribe on stone,Other,,,
17,,Akmara,,,,,,,,,,,,,,,,,,,,,
18,,Akbaru,,,,,,,Lord of Abina,,,,,,,,,,,,,,
19,,Aku(w)a,,,,,,,,,,,,,,,,,,,,,
20,f,Allaiturahi,,,,," KBo 35.105, 4 KUB 52.107 bord gauche 1 KUB 59.71 I 1 ",,"Magician of Mukiš, author of ritual",,,,,,,,,,,,,,
21,,Alakšandu,,,,,"KBo 45.272, Ro I 59[",,King of Wilusa,,,,,,,,,,,,,,
22,,Alalimi,,,,," KUB 56.14 I 13 KUB 56.19 II 28 KUB 60.102, 8'",,Chief of dignitaries,,,,,,,Prefect of Kaneš,Man of Ura,Diviner,Scribe,Diverse,,,
23,,Alamišar,,,,,,,,,,,,,,,,,,,,,
24,,Alamuwa,,,,,,,Goldsmith,,,,,,,,,,,,,,
25,,Alantalli,,,,,,,"Arzavian, adversary of Šuppiluliuma I",,,,,,,Diviner,Fragm.,,,,,,
26,,Alaria,,,,,,,,,,,,,,,,,,,,,
27,,Alašaili,,,,,"KBo 28.137, 4'",,,,,,,,,,,,,,,,
28,,Alawanni,,,,,KuT 50 Vo 36,,,,,,,,,,,,,,,,
29,(f),Alawashi,,,,,,,,,,,,,,,,,,,,,
30,,Alaziti,,,,,,,,,,,,,,,,,,,,,
31,,Alihhanni,,,,,,,,,,,,,,Scribe,,,,,,,
32,,Alihešni,,,,,"KBo 39.43, Vo IV 1",,Prince,,,,,,,Dignitary under Hattušili III,Others ?,,,,,,
33,,Ali-Šarruma,,,,,KUB 54.1 I 26,,,,,,,,,,,,,,,,
34,,Ali-URMAH,,,,,,,,,,,,,,,,,,,,,
35,,Aliwašu,,,,,,,Man of Išmiriga,,,,,,,,,,,,,,
27a,f,Alati,,,,,,,,,,,,,,,,,,,,,
12a,,Akalzazzi,,,,,,,,,,,,,,,,,,,,,
32a,f,Alihuntarri,,,,,,,,,,,,,,,,,,,,,
32b,,Alimutta,,,,,,,,,,,,,,,,,,,,,
36,,Aliziti,,,,,,,Chief of majordomes,,,,,,,,,,,,,,
37,,Algaria,,,,,,,,,,,,,,,,,,,,,
38,,Alulu(wa),,,,,,,,,,,,,,,,,,,,,
39,,Alluwa,,,,, KBo 32.145 Ro 14,,,,,,,,,,,,,,,,
